idx,name_roi,stiffness (N/micron),mean VM stress (N/cm2),DA,Radius a,Radius b,Radius c,m00,m01,m02,m10,m11,m12,m20,m21,m22,D1,D2,D3,Tb.Th Mean (µm),Tb.Th Std Dev (µm),Tb.Th Max (µm),Tb.Sp Mean (µm),Tb.Sp Std Dev (µm),Tb.Sp Max (µm),Euler char. (χ),Corr. Euler (χ + Δχ),Connectivity,Conn.D (µm⁻³),BV (micron³),TV (micron³),BV/TV,name_bone
287,Segmentation-grayscale-6_751-68983-L45,12.08711678,5.533964188,0.463157845,13.84967961,15.91016188,18.90237703,0.985570955,0.129378034,-0.109138518,0.161284996,-0.913446546,0.373634256,-0.051352137,-0.385845477,-0.921133121,0.00279877,0.003950489,0.005213394,388.1799864,135.5322636,1592.774292,872.4452567,268.3524923,1866.636108,-7175,-7363.375,7364.375,2.02E-09,1.03E+12,3.65E+12,0.282028704,Segmentation-grayscale_751-68983-L45
610,Segmentation-grayscale-7_751-68983-L45,16.47658978,4.589141781,0.465193001,14.75638914,15.72203333,20.17815985,0.807980232,0.551544141,-0.207284842,0.589169861,-0.76036428,0.273358805,-0.006842543,-0.342994492,-0.939312492,0.002456048,0.004045597,0.004592401,457.2533218,234.0803695,1759.216797,942.9744399,489.5697821,4748.48877,-6038,-6228.875,6229.875,1.71E-09,1.09E+12,3.65E+12,0.298202519,Segmentation-grayscale_751-68983-L45
185,Segmentation-grayscale-8_751-68983-L45,23.01738933,3.769299133,0.439601853,14.44804981,15.48212423,19.30015891,0.887764825,0.433123797,-0.155812039,0.460288006,-0.833186499,0.306488515,0.002926983,-0.343808136,-0.939035355,0.002684592,0.004171948,0.004790508,498.2315081,307.5519001,2605.706787,858.2762763,282.6500334,2395.211914,-6642,-6918,6919,1.90E-09,1.17E+12,3.65E+12,0.320119444,Segmentation-grayscale_751-68983-L45
7,Segmentation-grayscale-9_751-68983-L45,25.53073934,3.290118313,0.401505977,15.07899508,15.83412367,19.4913756,0.69899723,0.673717119,-0.239808498,0.713612516,-0.635337763,0.295132349,0.046476321,-0.377427041,-0.924872305,0.002632177,0.003988521,0.004398,492.82851,253.2300323,2330.615234,912.3335976,350.9591479,2585.428711,-5865,-6032.25,6033.25,1.66E-09,1.17E+12,3.65E+12,0.322142481,Segmentation-grayscale_751-68983-L45
552,Segmentation-grayscale-1_751-68983-L45_2,17.13333881,4.525548631,0.456338968,14.08219943,14.66389602,19.09881351,-0.710987621,0.675061475,0.196948239,0.537635578,0.702355707,-0.46652379,-0.453259957,-0.225806259,-0.862303279,0.002741494,0.004650517,0.005042652,369.1434655,104.9442843,1410.511475,882.1751263,319.0261178,2317.025146,-8214,-8493.375,8494.375,2.33E-09,1.02E+12,3.65E+12,0.278455556,Segmentation-grayscale_751-68983-L45_2
649,Segmentation-grayscale-10_751-68983-L45_2,18.43600798,4.317842933,0.454411467,14.2565287,14.6644053,19.30106066,-0.581838512,0.805648102,0.111333203,0.669557493,0.552201127,-0.496756157,-0.461688975,-0.214487883,-0.860719605,0.002684341,0.004650194,0.004920083,369.235772,104.8279793,1698.325684,886.4701956,316.1379627,2195.727783,-8044,-8346,8347,2.29E-09,1.01E+12,3.65E+12,0.276635259,Segmentation-grayscale_751-68983-L45_2
137,Segmentation-grayscale-2_751-68983-L45_2,19.11854067,4.26266082,0.458095509,14.28520022,14.66252394,19.40550534,-0.620689509,0.773541347,0.127977804,0.642199809,0.595212649,-0.483012741,-0.449804334,-0.21761362,-0.866210352,0.002655523,0.004651388,0.004900353,370.5206007,96.35073917,1562.750732,894.5441444,329.3984192,2458.112305,-7913,-8195.75,8196.75,2.25E-09,1.02E+12,3.65E+12,0.278989556,Segmentation-grayscale_751-68983-L45_2
570,Segmentation-grayscale-3_751-68983-L45_2,18.41397707,4.430049227,0.476576858,14.31929557,14.59644086,19.79225116,0.798791416,-0.53953546,-0.266146129,-0.417556385,-0.815693531,0.400363246,-0.433103844,-0.208675708,-0.876855467,0.002552758,0.0046936,0.004877044,371.5134794,109.4832237,1483.265259,912.1704264,352.4616806,2959.425293,-7630,-7862.5,7863.5,2.16E-09,1.02E+12,3.65E+12,0.280714778,Segmentation-grayscale_751-68983-L45_2
323,Segmentation-grayscale-4_751-68983-L45_2,17.04697676,4.536266925,0.404427498,14.21387305,14.54370746,18.41811216,0.840889404,-0.391694474,-0.373470814,-0.234027364,-0.885381824,0.401659332,-0.487992012,-0.250348686,-0.836175419,0.00294788,0.004727698,0.004949657,382.0682239,166.2145676,1602.657104,897.019932,461.4774033,4681.510742,-8820,-9099.125,9100.125,2.50E-09,1.01E+12,3.65E+12,0.275875407,Segmentation-grayscale_751-68983-L45_2
557,Segmentation-grayscale-5_751-68983-L45_2,19.8496139,4.107624933,0.420554833,14.38157911,14.79871302,18.89297727,-0.52644364,0.846889166,0.075072199,-0.698042847,-0.480943641,0.530499197,-0.485379519,-0.226874317,-0.844354645,0.002801555,0.00456617,0.004834893,365.770208,100.5843936,1483.265259,887.9263488,322.6345395,2115.14502,-8062,-8346.625,8347.625,2.29E-09,9.99E+11,3.65E+12,0.274172,Segmentation-grayscale_751-68983-L45_2
