idx,name_roi,stiffness (N/micron),mean VM stress (N/cm2),DA,Radius a,Radius b,Radius c,m00,m01,m02,m10,m11,m12,m20,m21,m22,D1,D2,D3,Tb.Th Mean (µm),Tb.Th Std Dev (µm),Tb.Th Max (µm),Tb.Sp Mean (µm),Tb.Sp Std Dev (µm),Tb.Sp Max (µm),Euler char. (χ),Corr. Euler (χ + Δχ),Connectivity,Conn.D (µm⁻³),BV (micron³),TV (micron³),BV/TV,name_bone
173,Segmentation-grayscale-3_144-789,11.9789456,5.515916604,0.459450988,16.46023886,16.86573493,22.3881699,-0.229783782,0.945148597,0.23214983,0.830355693,0.314809562,-0.459787301,0.507650309,-0.087115268,0.85714765,0.001995091,0.003515519,0.003690861,362.1010451,87.87528816,1147.098633,980.9439674,319.5277619,2473.054688,-6461,-6813.25,6814.25,1.87E-09,8.15E+11,3.65E+12,0.223568481,Segmentation-grayscale_144-789
555,Segmentation-grayscale-4_144-789,5.022382433,7.9674795,0.322887144,17.6414053,17.91609879,21.43890737,0.70295368,-0.468582768,-0.535057299,0.448312557,0.875947859,-0.178132532,0.552152131,-0.114653987,0.82582231,0.002175678,0.003115395,0.00321317,451.0530931,258.3175845,1701.422119,1034.614906,536.8647333,5118.682129,-5970,-6278.625,6279.625,1.72E-09,8.37E+11,3.65E+12,0.229521963,Segmentation-grayscale_144-789
23,Segmentation-grayscale-5_144-789,11.22965173,5.831112218,0.451643472,16.66463345,17.05581362,22.50423511,0.364268188,-0.879823344,-0.3053188,0.783048226,0.466823311,-0.410988409,-0.50412713,0.089369341,-0.858992991,0.001974565,0.003437598,0.003600879,364.2344605,91.14500304,1051.33313,977.6266113,312.7723514,2438.764648,-6358,-6687.375,6688.375,1.83E-09,8.02E+11,3.65E+12,0.219920852,Segmentation-grayscale_144-789
84,Segmentation-grayscale-6_144-789,9.578255453,6.069404961,0.492652539,17.06355065,17.51874432,23.95612995,0.320522511,-0.901626351,-0.290405309,0.806379891,0.420578701,-0.415770403,-0.497007839,0.100913227,-0.8618583,0.001742475,0.003258322,0.003434482,379.6486235,142.5432086,1196.506714,1033.098364,409.8729241,4311.625488,-5846,-6165.75,6166.75,1.69E-09,7.88E+11,3.65E+12,0.216243333,Segmentation-grayscale_144-789
152,Segmentation-grayscale-7_144-789,10.04329587,5.972269036,0.440542809,16.17786708,16.60193204,21.62906933,0.399476411,-0.851849217,-0.338779439,-0.753573652,-0.515575354,0.407809766,0.522058759,-0.092384878,0.847891317,0.00213759,0.003628129,0.003820828,373.1079872,131.0119382,1368.849487,963.86893,312.9400727,2298.78125,-6822,-7157,7158,1.96E-09,8.34E+11,3.65E+12,0.22886137,Segmentation-grayscale_144-789
341,Segmentation-grayscale-8_144-789,5.563846769,8.030641119,0.399217169,16.77686781,17.1416666,21.64472768,-0.568411047,0.702275252,0.428623788,0.631274181,0.706374003,-0.320200994,-0.527637935,0.088573348,-0.844839021,0.002134498,0.00340325,0.003552861,397.4796404,195.5264776,1791.824951,966.9328705,314.9622524,2254.858398,-6631,-6971.375,6972.375,1.91E-09,8.12E+11,3.65E+12,0.222667074,Segmentation-grayscale_144-789
283,Segmentation-grayscale-9_144-789,7.021625276,7.514362151,0.413547373,16.67127181,17.1725655,21.76969098,-0.691390664,0.525476999,0.49583553,0.482845138,0.846592057,-0.223925126,-0.537437925,0.084592033,-0.839049858,0.002110063,0.003391014,0.003598011,363.2520816,96.4667368,945.9215698,1021.282766,593.2534785,5096.010254,-6706,-7081,7082,1.94E-09,7.81E+11,3.65E+12,0.214383815,Segmentation-grayscale_144-789
330,Segmentation-grayscale-1_144-789_2,15.41306066,4.780228592,0.304928835,15.89536035,16.04616882,19.06583112,0.835118538,-0.5464293,-0.063182658,-0.550054491,-0.828704651,-0.103385963,0.004133357,0.121093439,-0.992632507,0.002750987,0.003883804,0.003957849,389.3149796,112.4849655,1341.66394,952.9538361,431.9603382,2911.009766,-7551,-7820.5,7821.5,2.15E-09,9.06E+11,3.65E+12,0.248493407,Segmentation-grayscale_144-789_2
72,Segmentation-grayscale-10_144-789_2,17.51842165,4.294456799,0.338329013,17.1746934,17.30351759,21.11387503,0.946901376,0.319604316,0.035083696,0.321363058,-0.944229524,-0.071808019,0.010176909,0.079269716,-0.996801255,0.00224318,0.003339883,0.003390174,376.7070128,97.16640505,894.442627,1024.134521,433.4482691,2861.774902,-6419,-6836.25,6837.25,1.88E-09,8.15E+11,3.65E+12,0.223659333,Segmentation-grayscale_144-789_2
346,Segmentation-grayscale-2_144-789_2,12.86628763,5.106053941,0.338579992,15.80402807,15.99449368,19.43252023,-0.663432779,0.743386426,0.085050393,0.74810395,0.656882176,0.094054704,0.014050903,0.126025509,-0.991927489,0.002648145,0.00390894,0.004003727,373.8382254,92.99628829,906.1350708,955.6931525,470.9847003,3843.036621,-7525,-7918,7919,2.17E-09,8.73E+11,3.65E+12,0.239480889,Segmentation-grayscale_144-789_2
13,Segmentation-grayscale-3_144-789_2,10.28909913,5.439218281,0.3490035,16.08707958,16.18488547,19.93828885,-0.219997755,0.967629452,0.123669847,0.975414598,0.21652228,0.041042233,-0.012936396,-0.129658573,0.991474308,0.002515499,0.003817515,0.003864075,371.9597925,91.01687992,945.9215698,984.2332343,563.1142424,4699.465332,-7160,-7573.5,7574.5,2.08E-09,8.57E+11,3.65E+12,0.235073778,Segmentation-grayscale_144-789_2
90,Segmentation-grayscale-4_144-789_2,11.7025317,5.084886493,0.355467143,16.54735816,16.7292071,20.61133567,-0.206987593,-0.970860891,-0.12076948,0.978260137,-0.20699906,-0.012589425,0.012776588,0.120749823,-0.992600745,0.002353898,0.003573134,0.0036521,370.0661974,93.53843198,900.3078613,1071.63984,700.8090842,4686.006836,-6837,-7231.375,7232.375,1.98E-09,8.28E+11,3.65E+12,0.227171481,Segmentation-grayscale_144-789_2
637,Segmentation-grayscale-5_144-789_2,16.48130186,4.900419412,0.281082208,17.16818634,17.57927352,20.24812449,0.974817618,-0.214904859,-0.059552604,-0.220119183,-0.970076985,-0.102460666,-0.035751316,0.112989133,-0.992952818,0.002439104,0.003235923,0.003392745,405.2969418,145.0002521,1414.237915,1061.294255,532.2456681,3649.143311,-6418,-6689.125,6690.125,1.84E-09,8.59E+11,3.65E+12,0.235703074,Segmentation-grayscale_144-789_2
192,Segmentation-grayscale-6_144-789_2,17.38977613,4.492599137,0.322435663,16.5590134,16.95118369,20.11681343,0.977694051,-0.201336182,-0.059817086,-0.205943849,-0.974885798,-0.084763269,-0.041248914,0.095191504,-0.994603994,0.002471051,0.003480166,0.003646961,401.2591292,115.323268,1165.307617,1012.409542,450.9791787,2817.288574,-6609,-6953.875,6954.875,1.91E-09,8.94E+11,3.65E+12,0.245269741,Segmentation-grayscale_144-789_2
541,Segmentation-grayscale-7_144-789_2,8.276386645,6.067250294,0.340112032,16.03626374,16.09204983,19.74095168,0.856568844,-0.513430382,-0.05175962,0.515857226,0.849343188,0.111836805,-0.013458733,-0.122496497,0.992377686,0.002566042,0.003861689,0.003888603,375.0871111,94.94159495,1015.684326,945.2616902,405.9517551,2911.009766,-7237,-7650.125,7651.125,2.10E-09,8.62E+11,3.65E+12,0.236461444,Segmentation-grayscale_144-789_2
544,Segmentation-grayscale-8_144-789_2,11.07475303,5.406615163,0.338454541,16.33018244,16.45270032,20.07757192,-0.265479029,0.957377647,0.11379335,0.963934866,0.261281884,0.050609787,-0.018720538,-0.123125214,0.992214555,0.002480719,0.003694244,0.003749885,370.1629423,96.26831637,1020.853088,1044.710586,737.8876441,5582.964844,-7089,-7496.5,7497.5,2.06E-09,8.38E+11,3.65E+12,0.229825556,Segmentation-grayscale_144-789_2
