idx,name_roi,min_angle_mil,inter_angle_mil,main_angle_mil,min eigenvalues_mil,inter eigenvalues_mil,main_eigenvalues_mil,main_angle_gst,inter_angle_gst,min_angle_gst,main_eigenvalues_gst,inter eigenvalues_gst,min eigenvalues_gst
207,Segmentation-grayscale-4_1220-67975-L45_2,71.42151721,86.41029589,18.94722964,0.001229942,0.002737262,0.002987054,74.66098147,88.18825167,24.14320527,743929.1875,669144.4375,390086.0938
427,Segmentation-grayscale-5_1220-67975-L45_2,70.54522011,84.93826068,20.15437262,0.001212454,0.002573271,0.002727699,74.66098147,88.50901936,25.07142374,704492.3125,651344.6875,391213.7813
243,Segmentation-grayscale-6_1220-67975-L45_2,79.28803319,75.82491108,17.90483203,0.001162986,0.002719885,0.002993839,74.66098147,74.94661959,23.12077768,725806.875,679395.25,376898.625
611,Segmentation-grayscale-7_1220-67975-L45_2,78.81805189,75.42180718,18.52646723,0.001253305,0.002965021,0.0030591,74.66098147,83.22617253,23.41931102,732374.6875,711692.9375,390866.125
477,Segmentation-grayscale-8_1220-67975-L45_2,78.63500684,74.35676969,19.51039465,0.001154664,0.002655669,0.002891488,74.66098147,76.04160246,24.70612082,711241.9375,676460.6875,373483.3438
169,Segmentation-grayscale-9_1220-67975-L45_2,69.34888326,89.0896954,20.67301758,0.001234567,0.002490597,0.002727805,74.66098147,88.89759317,25.42520595,712015.5625,635035.1875,392454.75
567,Segmentation-grayscale-1_1221-07131-L45,82.05520936,86.63114229,8.638051541,0.001520206,0.002725192,0.003025723,74.66098147,87.61593047,10.85441999,718576.625,658872.375,453405.75
8,Segmentation-grayscale-10_1221-07131-L45,84.13748199,88.80382401,5.984145057,0.001775632,0.0029165,0.003226811,74.66098147,89.42959662,7.989424022,740559.1875,677752.6875,492047.125
211,Segmentation-grayscale-2_1221-07131-L45,85.72492144,89.75393301,4.282180641,0.001569558,0.002925476,0.003108074,74.66098147,89.81394503,6.112728493,722922.5,686183.9375,460729.3438
320,Segmentation-grayscale-3_1221-07131-L45,88.93445406,83.90070508,6.192367161,0.001503929,0.002802102,0.003197713,74.66098147,81.11457432,9.037550608,740758.75,663228.9375,447283.7813
646,Segmentation-grayscale-4_1221-07131-L45,88.7021278,83.24469794,6.879992291,0.001445723,0.002706332,0.003151427,74.66098147,80.25740218,9.814058448,735696.3125,652847.875,439619.0625
74,Segmentation-grayscale-5_1221-07131-L45,79.53912463,83.07130545,12.5907925,0.001728515,0.003020837,0.003354327,74.66098147,83.27356447,16.20779057,759658.125,702554.3125,480587.8438
153,Segmentation-grayscale-6_1221-07131-L45,87.87763217,85.92363778,4.597436301,0.0015697,0.003049761,0.003434411,74.66098147,84.41895571,6.559480455,763734.4375,693246.6875,456940.4063
377,Segmentation-grayscale-7_1221-07131-L45,87.94229389,82.9328619,7.3635504,0.001475084,0.002779565,0.003161017,74.66098147,79.63245155,10.65467746,733749.0625,666375.625,444245.3125
236,Segmentation-grayscale-8_1221-07131-L45,88.82276237,83.20133915,6.90078077,0.001448154,0.002630426,0.003196109,74.66098147,80.09743282,9.983375607,744884.3125,641796.3125,437570.0938
41,Segmentation-grayscale-9_1221-07131-L45,83.96440798,87.58749504,6.503219837,0.001875128,0.00285306,0.003311173,74.66098147,87.26668194,8.198314843,752860.625,662216.5,511474.8438
472,Segmentation-grayscale-1_1221-07131-L45_2,89.18521905,72.68774663,17.33263352,0.001756934,0.002819634,0.003357606,74.66098147,67.78798271,22.36044071,759109.875,677971.875,488589.4375
572,Segmentation-grayscale-10_1221-07131-L45_2,77.39429513,78.78953308,16.99429128,0.001478474,0.002893926,0.003045508,74.66098147,83.12660152,21.16796127,727013.875,689232.625,440839.5
