epoch	batch	iter	loss	lr
1	1	1	0.03440813347697258	0.01
1	2	2	55.66217803955078	0.01
1	3	3	79722.140625	0.01
1	4	4	5316940.0	0.01
1	5	5	1830240256.0	0.01
1	6	6	5.856519548290728e+18	0.01
1	7	7	nan	0.01
1	8	8	nan	0.01
1	9	9	nan	0.01
1	10	10	nan	0.01
1	11	11	nan	0.01
1	12	12	nan	0.01
1	13	13	nan	0.01
1	14	14	nan	0.01
1	15	15	nan	0.01
1	16	16	nan	0.01
1	17	17	nan	0.01
1	18	18	nan	0.01
1	19	19	nan	0.01
1	20	20	nan	0.01
1	21	21	nan	0.01
